,text,reason,label,clean_text
0,this is an amazing app for online classes!but,good app for conducting online classes,1.0,this be an amaze app for online class but
1,very practical and easy to use,app is user-friendly,1.0,very practical and easy to use
2,this app is very good for video conferencing.,good for video conferencing,1.0,this app be very good for video conferencing
3,i can not download this zoom app,unable to download zoom app,1.0,i can not download this zoom app
4,i am not able to download this app,want to download the app,1.0,i be not able to download this app
5,zoom is not working properly,app is not working,1.0,zoom be not work properly
6,zoom is an excellent meeting app.,good app for conducting online meeting,1.0,zoom be an excellent meet app
7,i am not getting the virtual background option in the settings,unable to switch virtual background,1.0,i be not get the virtual background option in the settings
8,video quality is very poor,video quality is poor,1.0,video quality be very poor
9,i am unable to sign-in,want to login,1.0,i be unable to sign in
10,zoom does not update me anymore,want to update zoom app,1.0,zoom do not update me anymore
11,the app does not install,unable to install,1.0,the app do not install
12,best app for video calling and office meeting and online classes,good app for conducting online classes and meetings,1.0,best app for video call and office meet and online class
13,i can not connect to my meeting.,want to connect to meetings,1.0,i can not connect to my meet
14,my audio is not working please fix this problem,sound stopped working,1.0,my audio be not work please fix this problem
15,use google meet instead.,google meet is better,1.0,use google meet instead
16,i found a problem it sometimes would not work password,receiving incorrect password message,1.0,i find a problem it sometimes would not work password
17,will not let me sign up.,want to sign up,1.0,will not let me sign up
18,zoom is a very very bad app because there are,poor quality of the application,1.0,zoom be a very very bad app because there be
19,i can not edit my profile picture,want to add profile picture,1.0,i can not edit my profile picture
20,"because of this, i can not sign in to zoom.",unable to login,1.0,because of this i can not sign in to zoom
21,will not let me even install it,want to install,1.0,will not let me even install it
22,this app will help me to study in lockdown,good app for students,1.0,this app will help me to study in lockdown
23,it is nice and good but am having some network issues with this app,facing network issues with app,1.0,it be nice and good but be have some network issue with this app
24,i can not join my class right now.,want to connect to classes,1.0,i can not join my class right now
25,zoom would not let me connect,want to connect to zoom,1.0,zoom would not let me connect
26,the sound is bad.,audio quality is bad,1.0,the sound be bad
27,please add ukrainian language support.,want ukrainian language support,1.0,please add ukrainian language support
28,please fix the audio connect issue,want to connect to audio device,1.0,please fix the audio connect issue
29,this app is not opening.,want to start application,1.0,this app be not open
30,my microphone is not working.,want to use microphone,1.0,my microphone be not work
31,I would like you to be able to set the background on android,want to put background on android phone,1.0,i would like you to be able to set the background on android
32,let us just admit that skype is better.,skype is better,1.0,let us just admit that skype be better
33,best cloud meeting app,good app for cloud meetings,1.0,best cloud meet app
34,this is worst app this has a lot network issue does not work well,facing network connection issues,1.0,this be worst app this have a lot network issue do not work well
35,i can not join my zoom meeting please check my problem,unable to attend zoom meetings,1.0,i can not join my zoom meet please check my problem
36,i can not install the app in my phone,unable to download the app,1.0,i can not install the app in my phone
37,i can not change my background when I am using my phone,unable to set virtual background on mobie,1.0,i can not change my background when i be use my phone
38,I am trying to register - an error.,want to register,1.0,i be try to register an error
39,it takes a long time to install,installing process is time consuming,1.0,it take a long time to install
40,it is great for making video calls,good app for conducting video calls,1.0,it be great for make video call
41,i can not open my zoom,want to use the app,1.0,i can not open my zoom
42,"""you are not eligible to sign up for zoom at this time""",receiving not eligible for zoom message,1.0,you be not eligible to sign up for zoom at this time
43,the application crashes frequently.,app crashes frequently,1.0,the application crash frequently
44,it takes too long to get updated!,updating app is time consuming,1.0,it take too long to get update
45,very bad app i can not even sign in,unable to sign up,1.0,very bad app i can not even sign in
46,best app for meetings & webinar,good app for conducting webinars,1.0,best app for meet webinar
47,then it does not let meetings in and it comes out that the password is incorrect,receiving incorrect meeting passcode message,1.0,then it do not let meet in and it come out that the password be incorrect
